Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
NVDQ,300054,13824,6.25,4800,6.24,6.23,299042,1012
UVIX,298054,2900,5.13,729,5.12,5.13,237628,60426
VXX,297602,311,50.95,210,50.91,50.95,258973,38629
UVXY,160847,800,26.23,100,26.20,26.22,159652,1195
NVDX,154433,5100,11.33,6300,11.31,11.29,154433,0
SVIX,134592,100,26.97,100,26.92,26.95,96309,38283
EFV,119671,2821,56.28,1900,56.27,56.27,119671,0
ETHU,115787,3100,5.04,3000,5.03,5.04,115787,0
VIXY,94059,1000,12.59,400,12.58,12.58,94059,0
BITX,91931,200,23.81,250,23.78,23.80,82640,9291
GOVT,82159,107224,23.45,4880,23.44,23.45,82155,4
INDA,63876,320,56.93,2406,56.92,56.93,63614,262
IEFA,57445,400,75.63,3000,75.62,75.63,57445,0
COWZ,53491,100,56.25,100,56.22,56.17,53491,0
USHY,46712,12800,37.26,1801,37.25,37.25,46712,0
VHAI,46239,3800,0.05,100,0.04,0.04,46239,0
BUFR,46238,200,29.28,400,29.26,29.26,46238,0
FBTC,41073,130,49.48,130,49.46,49.49,41073,0
SING,40009,3000,0.43,1502,0.42,0.42,40009,0
ITB,37424,100,119.22,25,119.11,119.08,37262,162
FLOT,34814,2712,50.86,3308,50.85,50.85,34814,0
BUFQ,32280,400,29.43,200,29.33,29.45,32280,0
ARKG,31671,41,25.03,100,25.02,25.00,31671,0
BBJP,28737,200,57.69,1000,57.68,57.69,28737,0
CALF,27554,100,44.68,100,44.64,44.63,27554,0
JCPB,23276,1200,48.05,900,48.03,48.06,23276,0
MOAT,22734,120,94.49,510,94.47,94.41,22734,0
SVXY,22100,200,49.61,200,49.58,49.57,22100,0
BOXX,20959,210,108.58,5589,108.56,108.57,20959,0
USMV,20729,100,90.56,200,90.54,90.52,20729,0
HEFA,20391,100,34.56,200,34.54,34.48,20391,0
DFIS,18171,500,25.75,2000,25.69,25.72,18171,0
ARKB,18106,1000,56.54,501,56.50,56.59,18106,0
GOVZ,17133,600,12.11,40700,12.10,12.15,17133,0
SPYI,15919,500,50.04,100,50.01,50.02,15919,0
OBND,15367,800,26.36,600,26.34,26.36,15267,100
VNM,15206,200,12.68,700,12.67,12.67,15206,0
AAAU,14463,38200,24.79,10100,24.78,24.79,14463,0
IBHF,13562,100,23.19,1200,23.16,23.14,13562,0
ICSH,13111,7600,50.57,1349,50.56,50.56,13085,26
IFRA,12422,600,44.61,500,44.54,44.46,12422,0
IGV,12413,200,85.08,700,85.05,85.07,12313,100
ARKX,11847,100,14.88,1400,14.85,14.84,11847,0
FETH,11842,2100,23.94,2600,23.91,23.91,11842,0
LKOR,11328,600,45.29,600,45.21,45.30,11328,0
IGRO,11271,100,72.93,200,72.75,72.86,11271,0
PAVE,10581,185,37.75,400,37.73,37.74,10581,0
HYD,10240,800,52.54,400,52.52,52.54,10240,0
TLTW,10111,600,26.98,1105,26.97,26.98,10111,0
QUAL,9889,2100,173.56,500,173.48,173.47,9889,0
EFUT,9517,500,20.48,500,20.33,20.38,9517,0
FBCG,9513,3795,40.13,559,40.08,40.10,9513,0
QDTE,8999,2000,40.84,15,40.82,40.83,8999,0
EFG,8919,300,103.90,125,103.75,103.75,8919,0
FJUL,8563,500,46.73,800,46.63,46.54,8563,0
LVHI,8421,300,30.66,300,30.53,30.69,8419,2
ICOW,8139,600,30.89,6014,30.79,30.84,8139,0
IBMN,8043,1300,26.66,200,26.62,26.66,8043,0
ITM,8014,600,46.66,100,46.65,46.64,7814,200
NOBL,7865,300,104.05,500,104.00,103.99,7865,0
FFLC,7536,1000,43.54,1000,43.50,43.52,7536,0
VUSB,7333,1300,49.76,3400,49.75,49.76,7333,0
IGEB,6829,200,46.14,500,46.12,46.12,6829,0
KNG,6511,200,53.39,400,53.28,53.24,6511,0
NEAR,6445,3000,51.03,400,51.01,51.02,6244,201
JMUB,5929,900,51.05,600,51.04,51.06,5543,386
PICK,5697,1000,37.00,120,36.92,36.96,5697,0
FLHY,5641,600,24.26,600,24.24,24.26,5632,9
RDVI,5346,900,24.01,300,23.94,23.85,5346,0
ESGV,5067,400,97.49,400,97.33,97.47,5067,0
SMIN,5042,231,84.75,1,84.47,84.40,5042,0
DFIC,4569,100,27.37,1300,27.35,27.35,4569,0
GCOW,4554,400,36.04,800,35.95,36.03,4554,0
IYT,4535,100,66.55,100,66.49,66.48,4535,0
BBAX,4413,100,51.21,100,51.15,51.11,4413,0
HYMU,4346,500,23.07,800,23.05,23.09,4253,93
NJAN,4172,1000,45.28,700,45.14,45.15,4172,0
OMFL,3945,100,50.91,100,50.88,50.87,3945,0
FLBL,3844,900,24.26,1304,24.25,24.26,3844,0
AJUL,3804,3000,26.44,10,26.36,26.40,3804,0
EZU,3801,544,50.31,100,50.30,50.37,3801,0
IDV,3722,252,29.74,100,29.73,29.73,3722,0
HYDB,3689,700,47.54,800,47.52,47.52,3689,0
IBHE,3623,1000,23.19,1079,23.18,23.18,3623,0
FJAN,3607,1000,44.03,900,43.90,44.02,3607,0
MEAR,3600,300,50.23,100,50.22,50.20,3600,0
JBBB,3528,500,48.75,1012,48.72,48.73,3528,0
PSFF,3409,4000,28.18,4000,28.06,28.16,3409,0
BBCA,3349,2000,70.06,1000,70.01,70.02,3349,0
GAUG,3245,500,34.01,700,33.94,33.96,3245,0
IAGG,3219,800,51.62,6027,51.61,51.62,3219,0
ITA,3080,1,143.25,300,143.09,143.04,3080,0
MLN,2973,800,18.17,300,18.16,18.18,2973,0
CBOE,2956,32,212.00,1,210.77,211.81,2943,13
QMAG,2844,1000,19.71,1200,19.65,19.84,2844,0
XDTE,2835,2000,51.09,13,50.91,51.05,2835,0
FLQM,2701,800,53.86,800,53.70,53.50,2701,0
IBHG,2637,1300,22.42,1100,22.39,22.41,2637,0
ICVT,2582,500,80.43,600,80.40,80.40,2582,0
XSEP,2529,1200,38.21,600,38.10,38.18,2529,0
ACWV,2528,100,113.07,100,112.95,113.03,2528,0
SMMV,2456,200,40.15,500,40.05,40.03,2456,0
GVI,2419,113,106.79,100,106.76,106.95,2419,0
AAPX,2342,300,32.56,300,32.49,32.50,1804,538
TMFC,2296,100,53.68,900,53.63,53.60,2296,0
VIXM,2273,400,15.26,300,15.22,15.23,1573,700
QSPT,2263,900,26.34,700,26.23,26.25,2263,0
MTUM,2157,600,190.57,200,190.50,190.40,2157,0
CLSE,2156,300,21.23,300,21.16,21.22,2156,0
NULV,2148,500,40.28,100,40.21,40.10,2148,0
GSEW,2125,100,74.72,100,74.60,74.37,2125,0
XJR,2057,600,40.45,600,40.30,40.28,2057,0
EFAV,2029,200,76.71,253,76.64,76.71,2029,0
CNYA,2026,600,24.43,1010,24.42,24.43,2026,0
PRNT,2017,500,19.38,500,19.22,19.21,2017,0
SMDV,2015,500,68.30,1000,68.15,68.23,2015,0
XSHD,1902,1,15.30,1,15.23,15.24,1902,0
JMST,1879,1300,50.86,5574,50.85,50.86,1879,0
DRSK,1866,4700,28.04,5100,28.00,28.02,1866,0
DIHP,1825,407,26.99,100,26.97,26.99,1825,0
VLUE,1660,800,105.54,800,105.46,105.50,1641,19
VTEI,1655,600,100.73,248,100.71,100.73,1655,0
EMHY,1653,100,38.19,300,38.17,38.18,1653,0
WTAI,1594,1300,18.69,500,18.66,18.69,1594,0
ISPY,1564,200,42.80,700,42.71,42.70,1564,0
EEMV,1551,16,59.91,11,59.89,59.88,1551,0
FRDM,1537,800,34.75,900,34.56,34.74,1537,0
ARKQ,1502,100,54.89,100,54.79,54.77,1502,0
KNOW,1500,1100,10.63,200,10.54,10.55,1500,0
BBEU,1491,100,61.24,100,61.21,61.26,1491,0
IBHD,1459,800,23.21,200,23.20,23.21,1459,0
QMMY,1451,1000,20.32,200,20.28,20.27,1451,0
SLVP,1427,400,11.81,400,11.75,11.79,1427,0
HYBL,1423,800,28.36,600,28.32,28.36,1423,0
